Eden Hazard
Marcos Alonso
Diego Costa
N'Golo Kante
Victor Moses
Cesar Azpilicueta
David Luiz
Pedro
Gary Cahill
Cesc Fabregas
Nemanja Matic 
Willian
Thibaut Courtois
Nathan Ake
Kenedy
Michy Batshuayi
Nathaniel Chalobah
Kurt Zouma
Ruben Loftus-Cheek
Asmir Begovic
Harry Kane
Christian Eriksen
Danny Rose
Dele Alli
Jan Vertonghen
Victor Wanyama
Kyle Walker
Mousa Dembele
Son Heung-Min
Ben Davies
Toby Alderweireld
Erik Lamela
Eric Dier
Kieran Trippier
Hugo LLoris
Michel Vorm
Moussa Sissoko
Harry Winks
Vincent Janssen
Kevin Wimmer
Georges-Kevin Nkoudou
Josh Onomah
Tom Carroll
Kevin de Bruyne
Nicolas Otamendi
Gabriel Jesus
Sergio Aguero
David Silva
Vincent Kompany
Yaya Toure
Fernandinho
Ilkay Gundogan
Leroy Sane
Raheem Sterling
John Stones
Fabian Delph
Fernando
Kelechi Iheanacho
Claudio Bravo
Phillipe Coutinho
Roberto Firmino
Sadio Mane
Jordan Henderson
James Milner
Dejan Lovren
Joel Matip
Adam Lallana
Emre Can
Georginio Wijnaldum
Nathaniel Clyne
Simon Mignolet
Ragnar Klavan
Daniel Sturridge
Divock Origi
Loris Karius
Alberto Moreno
Marko Grujic
Trent Alexander-Arnold
Ben Woodburn
Ovie Ejaria
Alexis Sanchez
Calum Chambers
Shkodran Mustafi
Mesut Ozil
Laurent Koscielny 
Santi Cazorla
Carl Jenkinson
Alex Oxlade-Chamberlain
Theo Walcott
Kieran Gibbs
Nacho Monreal
Rob Holding
Granit Xhaka
Petr Cech
Gabriel Paulista
Olivier Giroud
Hector Bellerin
Francis Coquelin
Alex Iwobi
Per Mertesacker
Aaron Ramsey
Emiliano Martinez
Danny Welbecks
Mohamed Elneny
Lucas Perez
David Ospina
Sergio Romero
Paul Pogba
Zlatan Ibrahimovic
Ander Herrera
Antonio Valencia
Eric Bailly
Daley Blind
Phil Jones
Marcos Rojo
Mateo Darmian
Luke Shaw
Ashley Young
Chris Smallung
Michael Carrick
Axel Tuanzebe
Timothy Fosu-Mensah
Marouane Fellaini
Henrikh Mkhitaryan
Juan Mata
Anthony Martial
Wayne Rooney
Morgan Schneiderlin
Marcus Rashford
Romelu Lukaku
Idrissa Gueye
Yannick Bolasie
Joel Robles
Maarten Steklenburg
Phil Jagielka
Seamus Coleman
Ashley Williams
Leighton Baines
Mason Holgate
Romero Funes Mori
Mathew Pennington 
Ross Bakrkley
Kevin Mirallas
Gareth Barry
James McCarthy
Aaron Lennon
Tom Cleverley
Tom Davies
Enner Valencia
Ademola Lookman
Arouna Kone
Dominic Calvert-Lewin
Fraser Forster
Virgil van Dijk
Oriol Romeu
Maya Yoshida
Cedric Soares
Ryan Bertrand
Matt Targett
Jack Stephens
Martin Caceres
Sam McQueen
Jordy Clasie
Jeremy Pied
Harrison Reed
Peirre-Emile Hojbjerg
James Ward-Prowse
Steven Davis
Josh Sims
Nathan Redmond
Sofiane Boufal
Dusan Tadic
Manolo Gabbiadini
Jay Rodriguez
Shane Long
Charlie Austin
Artur Boruc
Adam Federici
Steve Cook
Simon Francis
Charlie Daniels
Adam Smith
Tyrone Mings
Jack Wilshere
Lewis Cook
Harry Artur
Andrew Surman
Dan Gosling
Max Gradel
Joshua King
Junior Stanislas
Mark Pugh
Ryan Fraser
Benik Afobe
Jordan Ibe
Callum Wilson
Lys Mousset
Ben Foster
Gareth McCauley
Johnny Evans
Craig Dawson
Chris Brunt
Claudio Yacob
Jake Livermore
Matt Phillips
James Morrison
Nacer Chadli
James McClean
Hal Robson-Kanu
Salomon Rondon
Kasper Schmeichel
Harry Maguire
Wilfred Ndidi
Christian Fuchs
Danny Simpson
Daniel Amartey
Wes Morgan
Marc Albrighton
Jamie Vardy
Riyad Mahrez
Shinji Okazaki
Demarai Gray
